1	1	20
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
8	1	0.5	0
35	91	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
8	1	0.5	0
53	91	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
1	1	0.5	0
46	91	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
4	1	1	0
1	1	0.5	0
6	9	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
1	1	0.5	0
46	19	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
5	1	1	0
8	1	0.5	0
3	9	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
8	1	0.5	0
53	19	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
4	9	1	0
1	1	0.5	0
6	1	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
1	1	0.5	0
64	19	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
3	1	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
5	9	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
8	1	0.5	0
35	19	1	0
